nome,palestra,data
Ellen Correia Fonseca de Oliveira,Festival de Dança,26 de Novembro de 2019
Patrícia de Santana Medeiros,Ferramentas e técnicas de estudo e memorização,26 de Novembro de 2019
Marcela Henrique de Freitas,Google Classroom - first steps,26 de Novembro de 2019
Ana Beatriz Pereira Melo ,Google Classroom - first steps,26 de Novembro de 2019
Ruth Gomes de Oliveira,Empreendedorismo e Inovação,26 de Novembro de 2019
Francisco Cassimiro Neto,Robótica,26 de Novembro de 2019
Mychelline Souto Cunha,Robótica,26 de Novembro de 2019
Inakã Silva Barreto,Oficina de produção de Sabão Ecológico,26 de Novembro de 2019
Mayane Vitória Alves Santos,Oficina de produção de Sabão Ecológico,26 de Novembro de 2019
Wanessa Tayllane Gonçalves dos Santos,Oficina de produção de Sabão Ecológico,26 de Novembro de 2019
Ana Klara de Sousa Galdino,Oficina de produção de Sabão Ecológico,26 de Novembro de 2019
